"","Species","Stat","Mean","SD"
"84","TANGARA VASSORII","Phi (introduced)",0.37,0.19
"85","TANGARA VASSORII","Phi (native)",0.6,0.12
"86","TANGARA VASSORII","Phi (scrub)",0.52,0.17
"87","TROGLODYTES SOLSTITIALIS","p",0.14,0.05
"88","TROGLODYTES SOLSTITIALIS","Phi (introduced)",0.89,0.07
"89","TROGLODYTES SOLSTITIALIS","Phi (native)",0.7,0.1
"90","TROGLODYTES SOLSTITIALIS","Phi (scrub)",0.28,0.16
"91","ZONOTRICHIA CAPENSIS","p",0.06,0.02
"92","ZONOTRICHIA CAPENSIS","Phi (introduced)",0.43,0.27
"93","ZONOTRICHIA CAPENSIS","Phi (scrub)",0.81,0.06
